[foo,-1,-1] => Name:foo, Quality:-1, SellIn: -2
[foo,-1,0] => Name:foo, Quality:0, SellIn: -2
[foo,-1,1] => Name:foo, Quality:0, SellIn: -2
[foo,-1,2] => Name:foo, Quality:0, SellIn: -2
[foo,-1,49] => Name:foo, Quality:47, SellIn: -2
[foo,-1,50] => Name:foo, Quality:48, SellIn: -2
[foo,-1,51] => Name:foo, Quality:49, SellIn: -2
[foo,0,-1] => Name:foo, Quality:-1, SellIn: -1
[foo,0,0] => Name:foo, Quality:0, SellIn: -1
[foo,0,1] => Name:foo, Quality:0, SellIn: -1
[foo,0,2] => Name:foo, Quality:0, SellIn: -1
[foo,0,49] => Name:foo, Quality:47, SellIn: -1
[foo,0,50] => Name:foo, Quality:48, SellIn: -1
[foo,0,51] => Name:foo, Quality:49, SellIn: -1
[foo,1,-1] => Name:foo, Quality:-1, SellIn: 0
[foo,1,0] => Name:foo, Quality:0, SellIn: 0
[foo,1,1] => Name:foo, Quality:0, SellIn: 0
[foo,1,2] => Name:foo, Quality:1, SellIn: 0
[foo,1,49] => Name:foo, Quality:48, SellIn: 0
[foo,1,50] => Name:foo, Quality:49, SellIn: 0
[foo,1,51] => Name:foo, Quality:50, SellIn: 0
[foo,2,-1] => Name:foo, Quality:-1, SellIn: 1
[foo,2,0] => Name:foo, Quality:0, SellIn: 1
[foo,2,1] => Name:foo, Quality:0, SellIn: 1
[foo,2,2] => Name:foo, Quality:1, SellIn: 1
[foo,2,49] => Name:foo, Quality:48, SellIn: 1
[foo,2,50] => Name:foo, Quality:49, SellIn: 1
[foo,2,51] => Name:foo, Quality:50, SellIn: 1
[foo,5,-1] => Name:foo, Quality:-1, SellIn: 4
[foo,5,0] => Name:foo, Quality:0, SellIn: 4
[foo,5,1] => Name:foo, Quality:0, SellIn: 4
[foo,5,2] => Name:foo, Quality:1, SellIn: 4
[foo,5,49] => Name:foo, Quality:48, SellIn: 4
[foo,5,50] => Name:foo, Quality:49, SellIn: 4
[foo,5,51] => Name:foo, Quality:50, SellIn: 4
[foo,6,-1] => Name:foo, Quality:-1, SellIn: 5
[foo,6,0] => Name:foo, Quality:0, SellIn: 5
[foo,6,1] => Name:foo, Quality:0, SellIn: 5
[foo,6,2] => Name:foo, Quality:1, SellIn: 5
[foo,6,49] => Name:foo, Quality:48, SellIn: 5
[foo,6,50] => Name:foo, Quality:49, SellIn: 5
[foo,6,51] => Name:foo, Quality:50, SellIn: 5
[foo,7,-1] => Name:foo, Quality:-1, SellIn: 6
[foo,7,0] => Name:foo, Quality:0, SellIn: 6
[foo,7,1] => Name:foo, Quality:0, SellIn: 6
[foo,7,2] => Name:foo, Quality:1, SellIn: 6
[foo,7,49] => Name:foo, Quality:48, SellIn: 6
[foo,7,50] => Name:foo, Quality:49, SellIn: 6
[foo,7,51] => Name:foo, Quality:50, SellIn: 6
[foo,10,-1] => Name:foo, Quality:-1, SellIn: 9
[foo,10,0] => Name:foo, Quality:0, SellIn: 9
[foo,10,1] => Name:foo, Quality:0, SellIn: 9
[foo,10,2] => Name:foo, Quality:1, SellIn: 9
[foo,10,49] => Name:foo, Quality:48, SellIn: 9
[foo,10,50] => Name:foo, Quality:49, SellIn: 9
[foo,10,51] => Name:foo, Quality:50, SellIn: 9
[foo,11,-1] => Name:foo, Quality:-1, SellIn: 10
[foo,11,0] => Name:foo, Quality:0, SellIn: 10
[foo,11,1] => Name:foo, Quality:0, SellIn: 10
[foo,11,2] => Name:foo, Quality:1, SellIn: 10
[foo,11,49] => Name:foo, Quality:48, SellIn: 10
[foo,11,50] => Name:foo, Quality:49, SellIn: 10
[foo,11,51] => Name:foo, Quality:50, SellIn: 10
[foo,12,-1] => Name:foo, Quality:-1, SellIn: 11
[foo,12,0] => Name:foo, Quality:0, SellIn: 11
[foo,12,1] => Name:foo, Quality:0, SellIn: 11
[foo,12,2] => Name:foo, Quality:1, SellIn: 11
[foo,12,49] => Name:foo, Quality:48, SellIn: 11
[foo,12,50] => Name:foo, Quality:49, SellIn: 11
[foo,12,51] => Name:foo, Quality:50, SellIn: 11
[foo,49,-1] => Name:foo, Quality:-1, SellIn: 48
[foo,49,0] => Name:foo, Quality:0, SellIn: 48
[foo,49,1] => Name:foo, Quality:0, SellIn: 48
[foo,49,2] => Name:foo, Quality:1, SellIn: 48
[foo,49,49] => Name:foo, Quality:48, SellIn: 48
[foo,49,50] => Name:foo, Quality:49, SellIn: 48
[foo,49,51] => Name:foo, Quality:50, SellIn: 48
[foo,50,-1] => Name:foo, Quality:-1, SellIn: 49
[foo,50,0] => Name:foo, Quality:0, SellIn: 49
[foo,50,1] => Name:foo, Quality:0, SellIn: 49
[foo,50,2] => Name:foo, Quality:1, SellIn: 49
[foo,50,49] => Name:foo, Quality:48, SellIn: 49
[foo,50,50] => Name:foo, Quality:49, SellIn: 49
[foo,50,51] => Name:foo, Quality:50, SellIn: 49
[foo,51,-1] => Name:foo, Quality:-1, SellIn: 50
[foo,51,0] => Name:foo, Quality:0, SellIn: 50
[foo,51,1] => Name:foo, Quality:0, SellIn: 50
[foo,51,2] => Name:foo, Quality:1, SellIn: 50
[foo,51,49] => Name:foo, Quality:48, SellIn: 50
[foo,51,50] => Name:foo, Quality:49, SellIn: 50
[foo,51,51] => Name:foo, Quality:50, SellIn: 50
[Aged Brie,-1,-1] => Name:Aged Brie, Quality:1, SellIn: -2
[Aged Brie,-1,0] => Name:Aged Brie, Quality:2, SellIn: -2
[Aged Brie,-1,1] => Name:Aged Brie, Quality:3, SellIn: -2
[Aged Brie,-1,2] => Name:Aged Brie, Quality:4, SellIn: -2
[Aged Brie,-1,49] => Name:Aged Brie, Quality:50, SellIn: -2
[Aged Brie,-1,50] => Name:Aged Brie, Quality:50, SellIn: -2
[Aged Brie,-1,51] => Name:Aged Brie, Quality:51, SellIn: -2
